Receive time,Appliance,Source address,Destination address,Source Port,Destination port,Protocol,Application,Type,Rule,Egress interface,Ingress interface,From Zone,To Zone,Source country,Destination country,User,Packets Received,Packets Sent,Received Bytes,Transmitted Bytes,Session duration,Reverse Rate (Bps),Forward Rate (Bps)
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,74.125.3.73,57287,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,4,3,1550,1511,500,3100,3022
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,172.217.26.206,50925,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,4,4,1561,2892,77,20272.73,37558.44
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,216.58.196.99,50924,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,4,4,1558,2902,80,19475,36275
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,172.217.26.164,50923,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,3,3,1495,1511,24,62291.67,62958.33
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,216.58.197.70,50922,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,4,4,1555,2902,79,19683.54,36734.18
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,8.8.8.8,4197,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,114,73,8,14250,9125
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,172.217.26.162,50921,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,3,3,1498,1511,25,59920,60440
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,8.8.8.8,3699,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,105,65,43,2441.86,1511.63
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,202.38.180.7,3699,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,India,unknown,0,1,0,65,0,0,0
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,8.8.8.8,45598,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,77,61,9,8555.56,6777.78
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,8.8.8.8,36150,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,133,68,8,16625,8500
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,8.8.8.8,22795,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,76,60,9,8444.44,6666.67
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.24,202.38.180.7,19825,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,India,unknown,0,1,0,62,0,0,0
2017-10-01T18:20:36Z,Branch01-OneEight,172.19.10.6,255.255.255.0,1670,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,,unknown,0,1,0,65,0,0,0
2017-10-01T18:20:35Z,Branch01-OneEight,210.120.5.247,43.224.128.220,59706,1900,udp,ssdp,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,South Korea,Japan,unknown,0,25,0,3050,13,0,234615.38
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.25,54.251.250.54,46497,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,5,6,1789,497,146,12253.42,3404.11
2017-10-01T18:29:45Z,Branch01-OneEight,104.236.185.104,43.224.128.220,43378,515,tcp,unknown_tcp,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,,Japan,unknown,0,125,0,5744,70,0,82057.14
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.25,54.251.250.54,45735,443,tcp,https,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,Singapore,unknown,5,6,1789,497,137,13058.39,3627.74
2017-10-01T18:29:45Z,Branch01-OneEight,82.201.187.118,43.224.128.219,4935,3389,tcp,unknown_tcp,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,Egypt,Japan,unknown,0,27,0,1404,14,0,100285.71
2017-10-01T18:29:45Z,Branch01-OneEight,189.69.87.4,43.224.129.104,28498,23,tcp,unknown_tcp,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,Brazil,Japan,unknown,0,1,0,40,0,0,0
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.24,8.8.8.8,44833,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,85,69,40,2125,1725
2017-10-01T18:19:54Z,Branch01-OneEight,203.178.148.19,43.224.129.97,8,8,icmp,icmp,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,Japan,Japan,unknown,0,1,0,32,0,0,0
